Product ID;Product;Brand;Category;pricing_role_category;URL;Price;Image URL
1013444;rom&nd Juicy Lasting Tint 22 Pomelo Skin;rom&nd;Makeup;C;https://www.matas.dk/soeg?search-query=1013444;;https://images.matas.dk/encode/8809625243692_1_20241220180600.jpg
756561;bMin Comp. Rescue Tinted Moisturizer Ginger;bareMinerals;Skin care;C;https://www.matas.dk/soeg?search-query=756561;;https://images.matas.dk/encode/194250081497_20250326180300.jpg
10359436;Milk Makeup Line + Fill - Valid;Milk Makeup;Makeup;C;https://www.matas.dk/soeg?search-query=10359436;;https://images.matas.dk/encode/840157414998_20260810180311.jpg
1033484;MAY Lifter Full Coverage Serumconcealer 15 10 ml;Maybelline;Makeup;B;https://www.matas.dk/soeg?search-query=1033484;;https://images.matas.dk/encode/3600531712594_20260304123600.jpg
1029450;ELF Halo Glow Silky Powder Highlighter Coppertunist 4,5 g;e.l.f.;Makeup;C;https://www.matas.dk/soeg?search-query=1029450;;https://images.matas.dk/encode/609332848054_20251022131800.jpg
1036848;HABIBA Astrid Mini Clutch Sapphire;HABIBA;Clothing, shoes and accessories;;https://www.matas.dk/soeg?search-query=1036848;;
1026349;Too Faced BTW Natural Finish Foundation Almond 30 ml;Too Faced;Makeup;C;https://www.matas.dk/soeg?search-query=1026349;;https://images.matas.dk/encode/651986027286_20260807041204.jpg
1040542;INITIO Lift Me Up EdP 50 ml;Initio;Fragrances;;https://www.matas.dk/soeg?search-query=1040542;;https://images.matas.dk/encode/3701415905696_1_20260609180440.jpg
94160069;The Body Shop White Musk Shower Gel 250 ml;THE BODY SHOP;Skin care;;https://www.matas.dk/soeg?search-query=94160069;;https://images.matas.dk/encode/94160069_20251215115200.jpg
1010587;EA White Tea Lilac EDT 100.00 ML;Elizabeth Arden;Fragrances;C;https://www.matas.dk/soeg?search-query=1010587;;https://images.matas.dk/encode/85805378387_20241220180500.jpg
816791;BY TERRY LashExpert Twist Brush Mascara Master Black;By Terry;Makeup;C;https://www.matas.dk/soeg?search-query=816791;;https://images.matas.dk/encode/3700076448993_1_Swatch.jpg
837244;FT OSMO Berber Oil Mask 250 ml;OSMO;Hair care and styling;C;https://www.matas.dk/soeg?search-query=837244;;https://images.matas.dk/encode/5060148618685_20240430013738.jpg
804208;CH RA Velvet Luminous Matte Lip 71 Rupturiste;CHANEL;Makeup;C;https://www.matas.dk/soeg?search-query=804208;;https://images.matas.dk/encode/804208_1_20231024024616.jpg
1015546;HOLDIT Wavy Case iPhone 15/14/13 Lemonade/Transparent;HOLDIT;Clothing, shoes and accessories;C;https://www.matas.dk/soeg?search-query=1015546;;https://images.matas.dk/encode/7330985166402_20250206180300.jpg
958045;ES Re-Nutriv Ultimate Lift Cream 50 Ml;Estée Lauder;Skin care;C;https://www.matas.dk/soeg?search-query=958045;;
1004140;TRX YBell Neo 10 kg L;TRX;Sport and nutrition;C;https://www.matas.dk/soeg?search-query=1004140;;https://images.matas.dk/encode/847585016824_20240725123827.jpg
1035121;ECOstyle MyreFri Mintspray 500 ml;ECOstyle;Home;B;https://www.matas.dk/soeg?search-query=1035121;;https://images.matas.dk/encode/5707883013473_1_20251110180100.jpg
1028309;OPI RapiDry Can’t Hardly Wait 9 ml;OPI;Makeup;C;https://www.matas.dk/soeg?search-query=1028309;;https://images.matas.dk/encode/4064665222920_20250926180200.jpg
10358059;Dior Rouge Dior Forever Liquid Transfer-Proof Lipstick 999;DIOR;Makeup;C;https://www.matas.dk/soeg?search-query=10358059;;https://images.matas.dk/encode/3348901834506_20260731132000.jpg
1040641;TB Anti-Aging Wrinkle Cream & Serum Gaveæske 80ml XMAS 2026;Tromborg;Skin care;;https://www.matas.dk/soeg?search-query=1040641;;https://images.matas.dk/encode/5704904888805_1_20260828181002.jpg
832679;IGK Thirsty Girl Leave-In Conditioner 179 ml;IGK;Hair care and styling;C;https://www.matas.dk/soeg?search-query=832679;;https://images.matas.dk/encode/810021401423_20240213123521.jpg
811199;Fenty Killawatt Freestyle Highlighter Duo 020 Girl;FENTY;Makeup;C;https://www.matas.dk/soeg?search-query=811199;;https://images.matas.dk/encode/816657022483_20251209180716.jpg
1003054;Numbuzin No.1 Pantothenic B5 Active Soothing Serum 50 ml;Numbuzin;Skin care;C;https://www.matas.dk/soeg?search-query=1003054;;https://images.matas.dk/encode/8809652583211_20240603124128.jpg
830976;Xlash Eyelash Serum 3ml;Xlash;Makeup;A;https://www.matas.dk/soeg?search-query=830976;;https://images.matas.dk/encode/7350128930783_20240425144712.jpg
1038503;Drunk Elephant Cocomino Glossing Shampoo 240 ml;DRUNK ELEPHANT;Makeup;C;https://www.matas.dk/soeg?search-query=1038503;;https://images.matas.dk/encode/812343032859_20260512180100.jpg
836463;CLI Pop Longwear Lipstick Satin Mocha Pop;Clinique;Makeup;B;https://www.matas.dk/soeg?search-query=836463;;https://images.matas.dk/encode/192333192238_20240830125802.jpg
824507;L&S Root Camouflage Light Brown 80 ml;Lernberger Stafsing;Hair care and styling;C;https://www.matas.dk/soeg?search-query=824507;;https://images.matas.dk/encode/7350085332095_20240424143235.jpg
819382;Malin+Goetz Cannabis Hand + Body Wash 250ml;Malin+Goetz;Skin care;C;https://www.matas.dk/soeg?search-query=819382;;https://images.matas.dk/encode/891211001135_1_20260520181220.jpg
801036;LSC Revitalift Clinical Daily UVA Fluid SPF50 50 ml;L’Oréal Paris;Skin care;B;https://www.matas.dk/soeg?search-query=801036;;https://images.matas.dk/encode/3600524077686_20250409180500.jpg
582250;PN Bio-Magnesium 200 mg 120 tabl (P);Pharma Nord;Vitamins and supplements;A;https://www.matas.dk/soeg?search-query=582250;;https://images.matas.dk/encode/582250_1_20231024071616.jpg
1001929;Elvie Stride Breast Shield 28 mm 2 pak;Elvie;Baby and parent;C;https://www.matas.dk/soeg?search-query=1001929;;https://images.matas.dk/encode/5060442521322_1_20240319163707.jpg
1009426;LA Absolu Rouge Intimatte 289;Lancôme;Makeup;C;https://www.matas.dk/soeg?search-query=1009426;;https://images.matas.dk/encode/3614274334685_20250520180600.jpg
814212;Kerasilk Multi-Purpose Hairspray 75 ml;Kerasilk;Hair care and styling;C;https://www.matas.dk/soeg?search-query=814212;;
822178;WetBrush Speed Dry Pink;WetBrush;Hair care and styling;C;https://www.matas.dk/soeg?search-query=822178;;https://images.matas.dk/encode/736658952940.jpg
1027741;Tommee Tippee Drikkedunk Med Sugerør 6m+ 240 ml;Tommee Tippee;Baby and parent;C;https://www.matas.dk/soeg?search-query=1027741;;https://images.matas.dk/encode/5010415480033_20251001105100.jpg
843501;ELF Halo Glow Powder Filter Fair Neutral Cool 10 g FLP;e.l.f.;Makeup;B;https://www.matas.dk/soeg?search-query=843501;;https://images.matas.dk/encode/609332845435_20241119182159.jpg
810174;Vichy Liftactiv B3 Anti Dark Spots Dagcreme SPF50 50 ml;Vichy;Skin care;C;https://www.matas.dk/soeg?search-query=810174;;https://images.matas.dk/encode/3337875832724_20250131181354.jpg
829773;CL Multi-Active Night Cream Dry Skin 50 Ml;Clarins;Skin care;;https://www.matas.dk/soeg?search-query=829773;;https://images.matas.dk/encode/3666057177668_20240229103645.jpg
810543;SHI Revital Essence Glow Foundation 250;Shiseido;Makeup;C;https://www.matas.dk/soeg?search-query=810543;;https://images.matas.dk/encode/729238193529.jpg
